######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# title :garnet geochemistry of the Voirons nappe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# author : Jérémy Ragusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# date : 2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description : garnet geochemistry (64-125 µm) from QEMScan (SEM-EDS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,type,confidence,O,Mg,Al,Si,Ca,Cr,Ti,Mn,Fe,Zr,Os,Gd,Dy,Pr,Tm,Tb,Te,Sm,As,Hg,Sb,Cu,C,Ru,Cs,Eu,Co,Lu,La,Cd,Ce,Ga,Ba,Pt,Nd,Zn,V,Yb,I,Rh,Nb,P,Sc,Ge,Th,Y,Pd,U,In,Ni,Hf,Cl,Ir,Au,Se,Mo,Sn,Pr,F,Er,Re,Ho,Ag,Bi,Tl,Sr
JR349,Alm,"91,6",20,0,"15,46","27,6","10,76",0,0,0,"39,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,"90,39","22,76",0,"16,29","23,64","2,6",0,0,"2,91","42,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,"89,26","20,1",0,"15,33","28,94","8,94",0,0,"2,75","35,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,"90,64","21,37",0,"16,88","26,14","7,54",0,0,"2,67","42,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,"90,39","20,12","4,42","14,81",29,"11,7",0,0,0,"26,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,"90,3","29,95","3,58","17,65","23,75","2,23",0,0,0,"33,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,"90,18","18,49","2,82","16,76","27,71","6,29",0,0,0,"35,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"90,28","19,97","3,33","19,34","25,41","4,53",0,0,"2,21","40,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"90,93","18,86","3,44","16,15","28,369","3,58",0,0,0,"43,73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"91,5","19,19","3,9","18,61","28,87",0,0,0,0,"45,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"90,4","26,76","2,19","15,5","25,29",0,0,0,0,"42,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"89,96","25,32","4,43","16,36","26,43",0,0,0,0,"33,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"89,16","24,68","2,46","11,77","23,05",0,0,0,"4,03","46,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"90,98",19,"3,89","13,88","27,51","4,74",0,"3,63",0,"40,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"89,06","19,25","3,09","19,93","26,38","3,93",0,0,0,"35,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"89,31","28,32","9,56","14,37","22,26",0,0,0,0,"35,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"90,71","27,44","3,37","12,76","23,65","3,64",0,0,0,"42,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"88,26","31,61","8,53","14,85","21,39",0,0,0,0,"35,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"89,95","28,09","4,38","17,39","25,6",0,0,0,0,"41,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"90,13","27,58","2,24","13,33","27,32","2,82",0,0,0,"39,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"89,97","23,89","4,2","16,2","25,15","2,85",0,0,0,"43,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"88,79","22,65","7,35","10,47","20,24",0,"2,1","4,7",0,"36,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"89,49","27,92","8,31","16,09","21,47",0,0,0,0,"37,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
