######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# title :garnet geochemistry of the Voirons nappe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# author : Jérémy Ragusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# date : 2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description : garnet geochemistry (64-125 µm) from QEMScan (SEM-EDS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,type,confidence,O,Mg,Al,Si,Ca,Cr,Ti,Mn,Fe,Zr,Os,Gd,Dy,Pr,Tm,Tb,Te,Sm,As,Hg,Sb,Cu,C,Ru,Cs,Eu,Co,Lu,La,Cd,Ce,Ga,Ba,Pt,Nd,Zn,V,Yb,I,Rh,Nb,P,Sc,Ge,Th,Y,Pd,U,In,Ni,Hf,Cl,Ir,Au,Se,Mo,Sn,Pr,F,Er,Re,Ho,Ag,Bi,Tl,Sr
JR349,Alm-Sps,"90,29","25,32",0,"14,01","32,5","5,15",0,0,"9,81","24,56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"90,1","22,68",0,"13,44","25,97","3,38",0,0,"11,86","23,6",0,0,0,0,0,0,"7,36",0,0,0,0,0,0,0,0,0,"5,7",0,0,0,"2,26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"89,88","22,38",0,"16,05","26,89","2,14",0,0,"9,97","31,19",0,0,0,0,0,0,0,0,0,0,0,"2,17",0,0,0,0,"8,57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Garnet,"90,4","39,86",9,"21,53","20,59",0,0,0,0,"29,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Garnet,"89,67","16,6",0,"13,81","28,21","5,33",0,0,"24,82","9,44",0,0,0,0,0,0,"5,19",0,0,0,0,0,0,0,0,0,"14,11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Garnet,"89,08","21,24",0,"14,37","26,86","4,51",0,0,"31,55","9,52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Garnet,"88,8","16,26",0,"14,68","27,15","8,4",0,"3,07","17,66","19,53","2,68",0,0,"6,59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Garnet,"89,7","23,47",0,"15,49","21,21",0,0,0,"25,86","26,78",0,0,"5,13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Garnet,"88,97","19,17",0,"13,37","27,73",0,0,0,"17,89","23,91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Garnet,"89,82","24,91",0,"13,27","31,06",3,0,0,"29,48","11,06",0,0,0,0,0,"3,57",,0,0,0,0,0,0,0,"2,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Garnet,"90,25","18,71",0,"15,56","25,98","4,88",0,0,"28,66","16,65",0,0,0,0,0,0,0,"4,85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Garnet,"90,01","22,37",0,"15,23","25,77","8,11",0,0,"27,89","14,72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Garnet,"89,02","24,48",0,"15,43","25,17",0,0,0,"16,68","29,39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm,"89,55","24,93","2,58","16,3","22,85","7,89",0,0,0,"36,58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm,"90,23","24,53",0,"12,75","27,29","4,49",0,0,0,"40,35",0,0,0,,0,0,0,"4,45",0,0,0,0,"2,94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm,"91,77","20,97","2,98","15,75","29,03","5,92",0,0,0,"41,36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm,"90,2","19,42",0,"15,82","25,05","6,79",0,0,0,"42,536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm,"91,28","17,71",0,"15,44","29,55","6,42",0,0,0,"37,49",0,0,0,"3,06",0,0,0,0,0,0,0,0,0,0,0,"3,77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm,"90,46","22,2",0,"17,39","25,14","4,42",0,0,0,"42,58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm,"90,79","20,62",0,"13,25","27,53","10,07",0,0,0,"32,35",0,0,0,"4,96",0,0,"8,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm,"89,68","24,37",0,"13,93","25,99","6,3",0,0,"3,08","38,25",0,0,0,0,0,0,0,0,0,0,0,0,"3,73",0,0,0,0,0,0,0,0,0,0,"2,88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm,"89,47","20,32",0,"16,16","26,62","6,32",0,0,0,"35,46",0,0,0,"9,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm,"89,78","21,19",0,"14,88","23,81","5,09",0,0,0,"45,47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Grs,"92,34","9,68",0,"16,47","27,49","51,19",0,0,0,"6,326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Grs,"92,8","9,84",0,"16,09","28,1","52,99",0,0,0,"5,39",0,0,0,0,0,0,0,0,0,0,"6,15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Grs,"93,57","11,44",0,"19,25","24,93","48,14",0,0,0,"4,09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Grs,"93,2","8,49",0,"16,1","25,11","52,18",0,0,0,"6,59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Grs,"91,68","13,29",0,"14,48","29,46","43,35",0,0,0,"8,04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Grs,"94,1","11,31",0,"16,13","25,89","52,04",0,0,0,"3,74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Grs,"92,92","11,33",0,"14,4","31,43","47,34",0,0,0,"3,97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Grs,"93,4","10,99",0,"18,63","24,95","49,64",0,0,0,"3,03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Grs,"94,32","7,65",0,"17,57","27,8","52,99",0,0,0,"5,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Grs,"92,47","10,67",0,"18,354","25,9","54,1",0,0,0,"4,42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp,"90,1","27,42","4,7","14,23","29,5",0,0,0,0,"39,04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp,"90,89","23,39","3,44","13,73","30,79",0,0,0,0,"43,55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp,"90,47","256,77","2,87","15,68","27,52",0,0,0,0,"38,67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp,"90,2","20,28","4,45","16,79","26,88",0,0,0,0,"34,49",0,0,0,0,"3,37",0,0,"4,28",0,0,0,0,"2,69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp,"89,9","23,05","3,22","10,99","27,13","2,05",0,0,0,"39,96",0,0,0,0,0,0,0,"2,86","4,51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp,"90,73","23,27","3,84","12,75","27,37",0,0,0,0,"40,33",0,0,0,"7,56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp,"89,57","27,84","3,03","16,09","26,96",0,0,0,"2,96","35,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp,"91,76","19,37","2,05","17,25","27,02",0,0,0,0,"39,66",0,0,0,"9,11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp,"89,81","21,48","2,25","15,52","27,83","4,14",0,0,0,"43,65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp,"91,2","24,86","3,41","10,69","28,77",0,0,0,0,"43,46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,79","2,91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp-Grs,"90,4","18,53","7,08","19,95","27,56","13,89",0,0,0,"23,01",0,0,0,0,0,0,0,0,0,"2,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp-Grs,"89,76","16,38","8,26","18,14","27,86","12,72",0,0,0,"26,54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,07",0,0,0,0,0,0,0,"2,77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp-Grs,"90,52","13,13",0,"13,33","28,54","7,51",0,0,"14,44","25,75",0,0,0,0,0,0,0,"4,3",0,0,0,0,0,0,0,0,0,0,"2,74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp-Grs,"88,46","22,34",0,"15,96","24,85","8,12",0,0,"14,07","24,38",0,0,0,0,0,0,0,0,"3,92",0,0,"4,63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp-Grs,"89,13","23,14",0,"12,71","24,5","7,45",0,0,"11,92","42,32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp-Grs,"89,46","28,44",0,"14,34","25,42","2,22",0,0,"11,77","34,72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp-Grs,"87,77","27,33",0,"16,57","25,91","6,48",0,0,"10,78","30,32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp-Grs,"90,28","24,39",0,"13,25","27,26",0,0,0,"12,79","37,23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp-Grs,"89,25","20,2",0,"14,75","27,01",0,0,0,"13,78","29,53",0,0,0,0,0,0,0,"4,79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Prp-Grs,"88,49","22,96",0,"15,83","27,3","2,39",0,0,"8,62","33,13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Garnet,"89,11","18,93",0,"11,64","30,78",0,0,0,"14,88","25,82",0,0,0,"2,02",0,0,0,0,0,0,0,0,0,0,0,0,"11,94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Garnet,"90,51","20,92",0,"15,32","27,96","5,55",0,0,"18,11","18,48",0,0,"5,11",0,0,0,0,"3,05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Garnet,"88,66","23,46",0,"14,95","26,72",0,0,0,"22,79","18,6",0,0,0,0,0,0,"6,65",0,0,0,0,0,0,0,0,0,"3,85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Garnet,"90,18","29,16",0,"16,95","26,3",0,0,0,"14,23","26,75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Garnet,"89,53","16,22",0,"18,61","24,51","7,89",0,0,"22,86","16,18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Garnet,"89,42","20,52",0,"14,35","24,21",0,0,0,"26,79","17,41",0,0,0,0,0,0,"10,21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Garnet,"89,52","21,79",0,"11,33","24,82","10,66",0,0,"16,02","29,62",0,0,0,0,0,0,0,0,0,0,0,"3,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Garnet,"90,83","21,93",0,"15,92","27,12","10,14",0,0,"23,05","16,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Garnet,"88,07","19,75",0,"16,11","25,45","9,33",0,0,"16,87","18,68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Garnet,"89,53","21,19",0,"13,39","30,05","6,53",0,0,"18,77","19,22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Sps,"88,46","22,34",0,"15,96","24,85","8,12",0,0,"14,07","24,38",0,0,0,0,0,0,0,0,"3,92",0,0,"4,63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Sps,"88,59","23,08",0,"16,37","24,4","5,27",0,0,"13,66","26,15",0,0,0,0,0,0,"6,19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Sps,"87,8","22,92",0,"13,88","27,18","5,43",0,0,13,"26,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Sps,"88,89","23,31",0,"14,34","25,17",0,0,0,"9,36","35,54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,56",0,0,0,0,0,0,0,0,0,0,0,"3,68",0,0,0,0,0,"2,39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Sps,"88,89","17,95","2,11","15,3","27,65","12,16",0,0,"15,4","25,74",0,0,0,0,0,0,0,0,0,0,0,0,"2,19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Sps,"89,4","19,65","2,52","13,74","25,85",0,0,0,"12,89","34,16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Sps,"88,77","16,43",0,"14,69","27,15","4,72",0,0,"14,84","25,92",0,0,0,0,0,0,"10,31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Sps,"89,77","22,65","2,56","12,72","29,14",0,0,0,"17,7","29,17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Sps,"89,32","22,37",0,"13,67","25,87",0,0,0,"11,59","34,83",0,0,0,0,"2,84",0,0,0,0,0,0,"3,23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Sps,"88,81","21,67",0,"13,94","27,28",0,0,0,"11,88","37,38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,Alm-Sps,"88,87","23,3",0,"14,35","24,12",0,0,0,"16,09","31,76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,Alm,"90,32","22,81",0,"14,08","25,66","3,32",0,0,0,"46,52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,Alm,"90,24","18,69",0,"12,73","24,91","9,51",0,0,0,"39,35",0,0,0,0,0,0,"4,19",0,0,0,0,0,0,0,0,0,0,0,"2,11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,Alm,"89,91","27,09",0,"15,23","26,83","7,47",0,0,0,"22,34",0,0,0,0,0,0,"6,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,Alm,"89,99","16,99","2,63","15,56","26,16","5,78",0,0,"2,25","38,52",0,0,0,0,0,0,0,0,0,0,0,"3,26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,Alm,"89,56","17,27",0,"17,84","25,67","9,34",0,0,"2,64","36,58",0,0,0,0,0,0,0,0,0,0,0,"4,59",0,0,0,0,0,0,0,0,0,0,"2,06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,Alm,"90,67","22,83",0,"16,7","29,17","6,44",0,0,0,"35,88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,Alm,"90,51","20,35",0,"15,12","29,32","6,8",0,0,0,"37,37",0,0,0,0,0,0,"4,18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
