######,,,,,,,,,,,,
# title : outcrops of the Voirons Flysch,,,,,,,,,,,,
# author : Jérémy Ragusa,,,,,,,,,,,,
# date : 2018-07-19,,,,,,,,,,,,
# description : location and stratigraphic position of outcrops of the Voirons Flysch,,,,,,,,,,,,
######,,,,,,,,,,,,
name_fr,name_en,lon,lat,ele,flysch,formation,member,status,sector,type,log,comments
D20 - Talus 902,D20- road bank 902,6.399205,46.253328,NA,Voirons,Vouan Conglomerate,NA,NA,Voirons-NW,road,no,
D50,D50,6.362046,46.229553,1337.790283,Voirons,Voirons Sandstone,NA,NA,Voirons-E,road,no,
Dranse,Dranse,6.520357,46.359738,443.290000,Voirons,Boëge Marl ?,NA,NA,Dranse,river,yes,Thick slump inside
Grande carrière d'Allinges,Allinges large quarry,6.461365,46.332912,564.65600600000005,Voirons,Voirons Sandstone,Allinges Sandstone,NA,Allinges,quarry,no,Previously affiliated to the Vouan Conglomerate (Vial1987). Outcrop 21 (JanduChene1975)
Grands Bois (section 1),Grands Bois (section 1),6.369156,46.241568,1048.676025,Voirons,Voirons Sandstone,NA,NA,Voirons-NW,road,no,
Grands Bois (section 2),Grands Bois (section 2),6.371932,46.239679,1027.7673339999999,Voirons,Voirons Sandstone,NA,Paralithostratotype of the Bons Sandstone Mb.,Voirons-NW,road,yes,
Grange Sauthier,Grange Sauthier,6.408616,46.23336,1033.054443,Voirons,Boëge Marl,NA,NA,GrandeCombe-W,trail,yes,
Granges Gaillard,Granges Gaillard,6.378074,46.238347,NA,Voirons,Voirons Sandstone,NA,NA,Voirons-E,road,no,Additionnal outcrop described but not found (Lombard1940)
Grotte aux Loups,Grotte aux Loups,6.444376,46.317126,660.78710899999999,Voirons,Vouan Conglomerate,NA,NA,Allinges,quarry,yes,Previously affiliated to the Vouan Conglomerate (Vial1987)
La Cave aux Fées,La Cave aux Fées,,,,Voirons,Voirons Sandstone,NA,NA,Voirons-W,trail,no,Signal des Voirons B (Ujetz1996)
La Chavanne,La Chavanne,6.418685,46.219912,843.91650400000003,Voirons,Bruant Sandstone,NA,NA,GrandeCombe-S,bank,no,Previously affiliated to the Wildflysch (Kerrien1998)
La Corbière,La Corbière,,,,Voirons,Voirons Sandstone,NA,NA,Voirons-E,trail,no,
La Coterie,La Coterie,6.385526,46.241497,999.16845699999999,Voirons,Vouan Conglomerate,NA,NA,Voirons-E,trail,no,Clavel outcrop ? (Lombard1940). Outcrop 19 (JanduChene1975) 
La Janière,La Janière,6.373976,46.22664,1120.0532229999999,Voirons,Voirons Sandstone,NA,NA,Voirons-E,trail,no,
La Maisonnée,La Maisonnée,6.354155,46.173851,,Voirons,Voirons Sandstone,NA,NA,Voirons-W,road,yes,Outcrop 8-11 (JanduChene1975). Also called Buisson-Rond
La Mouille (Juffly),La Mouille (Juffly),6.346575,46.174784,775.182861,Voirons,Voirons Sandstone,NA,NA,Voirons-W,?,no,Outcrop 7 (JanduChene1975)
La Moutonnière,La Moutonnière,6.36012,46.23833,1158.2653809999999,Voirons,Voirons Sandstone,NA,Lithostratotype of the Voirons Sandstone Fm.,Voirons-W,road,yes,Signal des Voirons A (Ujetz1996)
La Renardière,La Renardière,6.36794,46.223863,1186.383789,Voirons,Voirons Sandstone,NA,NA,Voirons-E,trail,no,
La Roche aux Fées,La Roche aux Fées,6.386521,46.239090,980.422852,Voirons,Vouan Conglomerate,NA,NA,Voirons-E,trail,no,
La Salle,La Salle,6.391069,46.238278,863.14282200000002,Voirons,Vouan Conglomerate,NA,NA,Voirons-E,road,no,
La Salle 2,La Salle 2,6.390327,46.240997,NA,Voirons,Vouan Conglomerate,NA,NA,Voirons-E,road,no,
Les Chaix,Les Chaix,6.417325,46.192707,987.87304700000004,Voirons,Boëge Marl,NA,Disappeared,Ludran,road,yes,Limited exposure. Now covered by limestone blocks
Meulière à Vachat,Vachat grind quarry,6.376809,46.175282,763,Voirons,Vouan Conglomerate,NA,Paralithostratotype of the Vouan Conglomerate Fm.,Vouan-W,quarry,yes,Protected area
Meulière de Boëge,Boëge grind quarry,6.371389,46.228056,1180,Voirons,Vouan Conglomerate,NA,NA,Voirons-E,trail,no,
Meulière de Grande Gueule,Grande Gueule grind quarry,6.380586,46.168069,772.29907200000002,Voirons,Vouan Conglomerate,NA,Lithostratotype of the Vouan Conglomerate Fm.,Vouan-W,quarry,yes,Protected area. Station 8 (Cogulu1961)
Meulière de la Molière,Molière quarry,6.370242,46.187266,,Voirons,Vouan Conglomerate,NA,Paralithostratotype of the Vouan Conglomerate Fm.,Voirons-E,quarry,yes,Protected area
Monastère de Bethléem,Bethléem monastery,6.356497,46.223777,1298.376221,Voirons,Voirons Sandstone,NA,Disappeared ,Voirons-E,road,no,"Restricted access. Hôtel des Voirons (Lombard1940,JanduChene1975). Outcrop 20 (JanduChene1975)"
Nant de Carraz,Carraz stream,6.416164,46.229683,1074.871582,Voirons,Bruant Sandstone,NA,NA,GrandeCombe-S,stream,yes,Previously affiliated to the Wildflysch (Kerrien1998). Marly interval
Nant de Carraz (bord de route),Carraz stream (road bank),6.415735,46.229193,1071.747314,Voirons,Bruant Sandstone,NA,NA,GrandeCombe-S,road,no,Previously affiliated to the Wildflysch (Kerrien1998)
Nant de la Combe Écuer,Combe Écuer stream,6.430486,46.232356,973,Voirons,Bruant Sandstone,NA,NA,GrandeCombe-SE,stream,no,Previously affiliated to the Wildflysch (Kerrien1998)
Nant de Manant (section 1),Manant stream (section 1),6.3722,46.2185,NA,Voirons,Voirons Sandstone,NA,NA,Voirons-E,stream,yes,"Ravin des Périers (Cogulu1961). Outcrop 12-16. Ruisseau des Gras (JanduChene1975,Stuijvenberg1980a)"
Nant de Manant (section 2),Manant stream (section 2),6.374,46.2176,NA,Voirons,Voirons Sandstone - Vouan Conglomerate,NA,NA,Voirons-E,trail,yes,"Ravin des Périers (Cogulu1961). Outcrop 12-16. Ruisseau des Gras (JanduChene1975,Stuijvenberg1980a)"
Nant de Manant (section 3),Manant stream (section 3),6.3755,46.2174,NA,Voirons,Voirons Sandstone - Vouan Conglomerate,NA,NA,Voirons-E,stream,yes,"Ravin des Périers (Cogulu1961). Outcrop 12-16. Ruisseau des Gras (JanduChene1975,Stuijvenberg1980a)"
Oratoire du Pralère,Pralère oratory,6.350002,46.189718,1295.492432,Voirons,Voirons Sandstone,NA,NA,Voirons-W,trail,no,
Petite carrière d'Allinges,Allinges small quarry,6.463455,46.334577,552.63940400000001,Voirons,Voirons Sandstone,Allinges Sandstone,NA,Allinges,quarry,no,Previously affiliated to the Vouan Conglomerate (Vial1987)
Planet,Planet,6.3627,46.1952,NA,Voirons,Voirons Sandstone,NA,NA,Voirons-E,road,yes,
Pointe de Brantaz,Brantaz peak,6.355327,46.214796,1456.5119629999999,Voirons,Voirons Sandstone,Conglomerate of the Voirons Sandstone,NA,Voirons-W,trail,yes,
Pralère,Pralère,6.348786,46.197871,1412.772461,Voirons,Voirons Sandstone,Conglomerate of the Voirons Sandstone,NA,Voirons-W,trail,yes,Metric pink granite and limestone blocks
Rau Bruant (section 1),Bruant stream (section 1),6.439574,46.243498,1006,Voirons,Bruant Sandstone,NA,NA,Tête de Char SE,stream,no,Previously affiliated to the Wildflysch (Kerrien1998)
Rau Bruant (section 2),Bruant stream (section 2),6.439577,46.243225,1019,Voirons,Bruant Sandstone,NA,NA,Tête de Char SE,stream,no,Previously affiliated to the Wildflysch (Kerrien1998)
Rau Bruant (section 3),Bruant stream (section 3),6.439754,46.242784,973,Voirons,Bruant Sandstone,NA,NA,Tête de Char SE,stream,no,Previously affiliated to the Wildflysch (Kerrien1998)
Rempart Nord de Château-Neuf d'Allinges,North rampart of Allinges Château-Neuf,6.463308,46.330957,NA,Voirons,Voirons Sandstone,Allinges Sandstone,NA,Allinges,bank,no,Previously affiliated to the Vouan Conglomerate (Vial1987). Château des Allinges (Cogulu1961)
Roche aux Corbeaux,Roche aux Corbeaux,6.347614,46.195653,1379.1264650000001,Voirons,Voirons Sandstone,NA,NA,Voirons-W,cliff,yes,
Rocher d'escalade,Rocher d'escalade,6.466289,46.335348,654.29809599999999,Voirons,Voirons Sandstone,Allinges Sandstone,Lithostratotype of the Allinges Sandstone Mb.,Allinges,cliff,yes,Previously affiliated to the Vouan Conglomerate (Vial1987)
Route de Supersaxel,Supersaxel road,6.403001,46.243125,1056.847168,Voirons,Boëge Marl,NA,NA,Grande-Combe-W,road,yes,
Route des Monastères,Monastery road,6.358315,46.22799,1388.9799800000001,Voirons,Voirons Sandstone,Conglomerate of the Voirons Sandstone,NA,Voirons-E,road,yes,Clast supported conglomerate
Saut de la Pucelle,Saut de la Pucelle,6.353137,46.224393,1445.6972659999999,Voirons,Voirons Sandstone,NA,NA,Voirons-W,cliff,yes,
Saxel église,Saxel church,6.393877,46.242822,893.42431599999998,Voirons,Vouan Conglomerate,NA,NA,Voirons-E,bank,no,
Saxel église (torrent),Saxel church (stream),6.394205,46.242002,890.05957000000001,Voirons,Vouan Conglomerate,NA,NA,Voirons-E,stream,no,
Scierie des Chênets,Chênets sawmill,6.379834,46.190423,,Voirons,Vouan Conglomerate,NA,NA,Voirons-E,road,no,Only described by Ujetz (2006)
Sentier des Châteaux des Allinges,Allinges castles path,6.464432,46.334735,557.20556599999998,Voirons,Voirons Sandstone,Allinges Sandstone,NA,Allinges,trail,no,Previously affiliated to the Vouan Conglomerate (Vial1987)
Supersaxel,Supersaxel,6.408194,46.248209,1077.755615,Voirons,Boëge Marl,NA,NA,Grande-Combe-W,road,yes,Previous paralithostratotype of the Boëge Marl Fm. (Stuijvenberg1980b)
